1	 Q0	 5951582	 1	 1.0	 run-1
1	 Q0	 5950149	 2	 1.0	 run-1
1	 Q0	 5941755	 3	 1.0	 run-1
1	 Q0	 5932815	 4	 1.0	 run-1
1	 Q0	 5930185	 5	 1.0	 run-1
1	 Q0	 5912879	 6	 1.0	 run-1
1	 Q0	 5909050	 7	 1.0	 run-1
1	 Q0	 5907822	 8	 1.0	 run-1
1	 Q0	 5906527	 9	 1.0	 run-1
1	 Q0	 5905694	 10	 1.0	 run-1
1	 Q0	 5905646	 11	 1.0	 run-1
1	 Q0	 5903635	 12	 1.0	 run-1
1	 Q0	 5902859	 13	 1.0	 run-1
1	 Q0	 5902554	 14	 1.0	 run-1
1	 Q0	 5899559	 15	 1.0	 run-1
1	 Q0	 5899558	 16	 1.0	 run-1
1	 Q0	 5898307	 17	 1.0	 run-1
1	 Q0	 5897346	 18	 1.0	 run-1
1	 Q0	 5897345	 19	 1.0	 run-1
1	 Q0	 5897342	 20	 1.0	 run-1
1	 Q0	 5897341	 21	 1.0	 run-1
1	 Q0	 5896691	 22	 1.0	 run-1
1	 Q0	 5896094	 23	 1.0	 run-1
1	 Q0	 5892383	 24	 1.0	 run-1
1	 Q0	 5885935	 25	 1.0	 run-1
1	 Q0	 5884031	 26	 1.0	 run-1
1	 Q0	 5883175	 27	 1.0	 run-1
1	 Q0	 5882692	 28	 1.0	 run-1
1	 Q0	 5878699	 29	 1.0	 run-1
1	 Q0	 5875954	 30	 1.0	 run-1
1	 Q0	 5874621	 31	 1.0	 run-1
1	 Q0	 5874289	 32	 1.0	 run-1
1	 Q0	 5874245	 33	 1.0	 run-1
1	 Q0	 5871498	 34	 1.0	 run-1
1	 Q0	 5866981	 35	 1.0	 run-1
1	 Q0	 5862925	 36	 1.0	 run-1
1	 Q0	 5859331	 37	 1.0	 run-1
1	 Q0	 5858767	 38	 1.0	 run-1
1	 Q0	 5853398	 39	 1.0	 run-1
1	 Q0	 5852513	 40	 1.0	 run-1
1	 Q0	 5851067	 41	 1.0	 run-1
1	 Q0	 5851066	 42	 1.0	 run-1
1	 Q0	 5851064	 43	 1.0	 run-1
1	 Q0	 5850834	 44	 1.0	 run-1
1	 Q0	 5850736	 45	 1.0	 run-1
1	 Q0	 5850635	 46	 1.0	 run-1
1	 Q0	 5848961	 47	 1.0	 run-1
1	 Q0	 5845145	 48	 1.0	 run-1
1	 Q0	 5843346	 49	 1.0	 run-1
1	 Q0	 5842418	 50	 1.0	 run-1
1	 Q0	 5841757	 51	 1.0	 run-1
1	 Q0	 5841296	 52	 1.0	 run-1
1	 Q0	 5836322	 53	 1.0	 run-1
1	 Q0	 5835152	 54	 1.0	 run-1
1	 Q0	 5834999	 55	 1.0	 run-1
1	 Q0	 5829874	 56	 1.0	 run-1
1	 Q0	 5829465	 57	 1.0	 run-1
1	 Q0	 5829157	 58	 1.0	 run-1
1	 Q0	 5828550	 59	 1.0	 run-1
1	 Q0	 5827340	 60	 1.0	 run-1
1	 Q0	 5827325	 61	 1.0	 run-1
1	 Q0	 5827202	 62	 1.0	 run-1
1	 Q0	 5821944	 63	 1.0	 run-1
1	 Q0	 5821921	 64	 1.0	 run-1
1	 Q0	 5821739	 65	 1.0	 run-1
1	 Q0	 5821620	 66	 1.0	 run-1
1	 Q0	 5820259	 67	 1.0	 run-1
1	 Q0	 5819955	 68	 1.0	 run-1
1	 Q0	 5818300	 69	 1.0	 run-1
1	 Q0	 5818251	 70	 1.0	 run-1
1	 Q0	 5815805	 71	 1.0	 run-1
1	 Q0	 5815804	 72	 1.0	 run-1
1	 Q0	 5814830	 73	 1.0	 run-1
1	 Q0	 5812199	 74	 1.0	 run-1
1	 Q0	 5811526	 75	 1.0	 run-1
1	 Q0	 5806903	 76	 1.0	 run-1
1	 Q0	 5806305	 77	 1.0	 run-1
1	 Q0	 5805748	 78	 1.0	 run-1
1	 Q0	 5805619	 79	 1.0	 run-1
1	 Q0	 5805618	 80	 1.0	 run-1
1	 Q0	 5803960	 81	 1.0	 run-1
