1	 Q0	 5955915	 1	 1.0	 run-1
1	 Q0	 5955909	 2	 1.0	 run-1
1	 Q0	 5955906	 3	 1.0	 run-1
1	 Q0	 5955905	 4	 1.0	 run-1
1	 Q0	 5955903	 5	 1.0	 run-1
1	 Q0	 5955902	 6	 1.0	 run-1
1	 Q0	 5955901	 7	 1.0	 run-1
1	 Q0	 5955899	 8	 1.0	 run-1
1	 Q0	 5955896	 9	 1.0	 run-1
1	 Q0	 5955893	 10	 1.0	 run-1
1	 Q0	 5955892	 11	 1.0	 run-1
1	 Q0	 5955891	 12	 1.0	 run-1
1	 Q0	 5955890	 13	 1.0	 run-1
1	 Q0	 5955889	 14	 1.0	 run-1
1	 Q0	 5955878	 15	 1.0	 run-1
1	 Q0	 5955875	 16	 1.0	 run-1
1	 Q0	 5955872	 17	 1.0	 run-1
1	 Q0	 5955867	 18	 1.0	 run-1
1	 Q0	 5955866	 19	 1.0	 run-1
1	 Q0	 5955862	 20	 1.0	 run-1
1	 Q0	 5955860	 21	 1.0	 run-1
1	 Q0	 5955856	 22	 1.0	 run-1
1	 Q0	 5955855	 23	 1.0	 run-1
1	 Q0	 5955848	 24	 1.0	 run-1
1	 Q0	 5955835	 25	 1.0	 run-1
1	 Q0	 5955824	 26	 1.0	 run-1
1	 Q0	 5955822	 27	 1.0	 run-1
1	 Q0	 5955820	 28	 1.0	 run-1
1	 Q0	 5955817	 29	 1.0	 run-1
1	 Q0	 5955812	 30	 1.0	 run-1
1	 Q0	 5955811	 31	 1.0	 run-1
1	 Q0	 5955806	 32	 1.0	 run-1
1	 Q0	 5955798	 33	 1.0	 run-1
1	 Q0	 5955796	 34	 1.0	 run-1
1	 Q0	 5955793	 35	 1.0	 run-1
1	 Q0	 5955790	 36	 1.0	 run-1
1	 Q0	 5955789	 37	 1.0	 run-1
1	 Q0	 5955781	 38	 1.0	 run-1
1	 Q0	 5955776	 39	 1.0	 run-1
1	 Q0	 5955765	 40	 1.0	 run-1
1	 Q0	 5955764	 41	 1.0	 run-1
1	 Q0	 5955763	 42	 1.0	 run-1
1	 Q0	 5955760	 43	 1.0	 run-1
1	 Q0	 5955755	 44	 1.0	 run-1
1	 Q0	 5955737	 45	 1.0	 run-1
1	 Q0	 5955732	 46	 1.0	 run-1
1	 Q0	 5955731	 47	 1.0	 run-1
1	 Q0	 5955729	 48	 1.0	 run-1
1	 Q0	 5955726	 49	 1.0	 run-1
1	 Q0	 5955717	 50	 1.0	 run-1
1	 Q0	 5955709	 51	 1.0	 run-1
1	 Q0	 5955704	 52	 1.0	 run-1
1	 Q0	 5955702	 53	 1.0	 run-1
1	 Q0	 5955695	 54	 1.0	 run-1
1	 Q0	 5955693	 55	 1.0	 run-1
1	 Q0	 5955692	 56	 1.0	 run-1
1	 Q0	 5955690	 57	 1.0	 run-1
1	 Q0	 5955684	 58	 1.0	 run-1
1	 Q0	 5955671	 59	 1.0	 run-1
1	 Q0	 5955670	 60	 1.0	 run-1
1	 Q0	 5955665	 61	 1.0	 run-1
1	 Q0	 5955657	 62	 1.0	 run-1
1	 Q0	 5955639	 63	 1.0	 run-1
1	 Q0	 5955629	 64	 1.0	 run-1
1	 Q0	 5955618	 65	 1.0	 run-1
1	 Q0	 5955616	 66	 1.0	 run-1
1	 Q0	 5955612	 67	 1.0	 run-1
1	 Q0	 5955607	 68	 1.0	 run-1
1	 Q0	 5955606	 69	 1.0	 run-1
1	 Q0	 5955596	 70	 1.0	 run-1
1	 Q0	 5955589	 71	 1.0	 run-1
1	 Q0	 5955574	 72	 1.0	 run-1
1	 Q0	 5955572	 73	 1.0	 run-1
1	 Q0	 5955564	 74	 1.0	 run-1
1	 Q0	 5955563	 75	 1.0	 run-1
1	 Q0	 5955538	 76	 1.0	 run-1
1	 Q0	 5955509	 77	 1.0	 run-1
1	 Q0	 5955495	 78	 1.0	 run-1
1	 Q0	 5955491	 79	 1.0	 run-1
1	 Q0	 5955490	 80	 1.0	 run-1
1	 Q0	 5955488	 81	 1.0	 run-1
1	 Q0	 5955487	 82	 1.0	 run-1
1	 Q0	 5955486	 83	 1.0	 run-1
1	 Q0	 5955481	 84	 1.0	 run-1
1	 Q0	 5955479	 85	 1.0	 run-1
1	 Q0	 5955478	 86	 1.0	 run-1
1	 Q0	 5955477	 87	 1.0	 run-1
1	 Q0	 5955472	 88	 1.0	 run-1
1	 Q0	 5955470	 89	 1.0	 run-1
1	 Q0	 5955469	 90	 1.0	 run-1
1	 Q0	 5955468	 91	 1.0	 run-1
1	 Q0	 5955466	 92	 1.0	 run-1
1	 Q0	 5955464	 93	 1.0	 run-1
1	 Q0	 5955463	 94	 1.0	 run-1
1	 Q0	 5955460	 95	 1.0	 run-1
1	 Q0	 5955457	 96	 1.0	 run-1
1	 Q0	 5955455	 97	 1.0	 run-1
1	 Q0	 5955453	 98	 1.0	 run-1
1	 Q0	 5955447	 99	 1.0	 run-1
1	 Q0	 5955446	 100	 1.0	 run-1
1	 Q0	 5955445	 101	 1.0	 run-1
1	 Q0	 5955436	 102	 1.0	 run-1
1	 Q0	 5955435	 103	 1.0	 run-1
1	 Q0	 5955416	 104	 1.0	 run-1
1	 Q0	 5955412	 105	 1.0	 run-1
1	 Q0	 5955401	 106	 1.0	 run-1
1	 Q0	 5955400	 107	 1.0	 run-1
1	 Q0	 5955397	 108	 1.0	 run-1
1	 Q0	 5955395	 109	 1.0	 run-1
1	 Q0	 5955393	 110	 1.0	 run-1
1	 Q0	 5955391	 111	 1.0	 run-1
1	 Q0	 5955390	 112	 1.0	 run-1
1	 Q0	 5955379	 113	 1.0	 run-1
1	 Q0	 5955377	 114	 1.0	 run-1
1	 Q0	 5955361	 115	 1.0	 run-1
1	 Q0	 5955349	 116	 1.0	 run-1
1	 Q0	 5955345	 117	 1.0	 run-1
1	 Q0	 5955341	 118	 1.0	 run-1
1	 Q0	 5955334	 119	 1.0	 run-1
1	 Q0	 5955333	 120	 1.0	 run-1
1	 Q0	 5955330	 121	 1.0	 run-1
1	 Q0	 5955329	 122	 1.0	 run-1
1	 Q0	 5955328	 123	 1.0	 run-1
1	 Q0	 5955327	 124	 1.0	 run-1
1	 Q0	 5955323	 125	 1.0	 run-1
1	 Q0	 5955321	 126	 1.0	 run-1
1	 Q0	 5955317	 127	 1.0	 run-1
1	 Q0	 5955314	 128	 1.0	 run-1
1	 Q0	 5955306	 129	 1.0	 run-1
1	 Q0	 5955305	 130	 1.0	 run-1
1	 Q0	 5955304	 131	 1.0	 run-1
1	 Q0	 5955303	 132	 1.0	 run-1
1	 Q0	 5955302	 133	 1.0	 run-1
1	 Q0	 5955287	 134	 1.0	 run-1
1	 Q0	 5955281	 135	 1.0	 run-1
1	 Q0	 5955277	 136	 1.0	 run-1
1	 Q0	 5955276	 137	 1.0	 run-1
1	 Q0	 5955267	 138	 1.0	 run-1
1	 Q0	 5955264	 139	 1.0	 run-1
1	 Q0	 5955250	 140	 1.0	 run-1
1	 Q0	 5955249	 141	 1.0	 run-1
1	 Q0	 5955238	 142	 1.0	 run-1
1	 Q0	 5955235	 143	 1.0	 run-1
1	 Q0	 5955231	 144	 1.0	 run-1
1	 Q0	 5955226	 145	 1.0	 run-1
1	 Q0	 5955224	 146	 1.0	 run-1
1	 Q0	 5955222	 147	 1.0	 run-1
1	 Q0	 5955213	 148	 1.0	 run-1
1	 Q0	 5955200	 149	 1.0	 run-1
1	 Q0	 5955195	 150	 1.0	 run-1
1	 Q0	 5955187	 151	 1.0	 run-1
1	 Q0	 5955182	 152	 1.0	 run-1
1	 Q0	 5955181	 153	 1.0	 run-1
1	 Q0	 5955179	 154	 1.0	 run-1
1	 Q0	 5955177	 155	 1.0	 run-1
1	 Q0	 5955176	 156	 1.0	 run-1
1	 Q0	 5955173	 157	 1.0	 run-1
1	 Q0	 5955172	 158	 1.0	 run-1
1	 Q0	 5955169	 159	 1.0	 run-1
1	 Q0	 5955168	 160	 1.0	 run-1
1	 Q0	 5955164	 161	 1.0	 run-1
1	 Q0	 5955163	 162	 1.0	 run-1
1	 Q0	 5955162	 163	 1.0	 run-1
1	 Q0	 5955159	 164	 1.0	 run-1
1	 Q0	 5955157	 165	 1.0	 run-1
1	 Q0	 5955144	 166	 1.0	 run-1
1	 Q0	 5955143	 167	 1.0	 run-1
1	 Q0	 5955142	 168	 1.0	 run-1
1	 Q0	 5955137	 169	 1.0	 run-1
1	 Q0	 5955134	 170	 1.0	 run-1
1	 Q0	 5955132	 171	 1.0	 run-1
1	 Q0	 5955130	 172	 1.0	 run-1
1	 Q0	 5955126	 173	 1.0	 run-1
1	 Q0	 5955125	 174	 1.0	 run-1
1	 Q0	 5955122	 175	 1.0	 run-1
1	 Q0	 5955117	 176	 1.0	 run-1
1	 Q0	 5955113	 177	 1.0	 run-1
1	 Q0	 5955090	 178	 1.0	 run-1
1	 Q0	 5955089	 179	 1.0	 run-1
1	 Q0	 5955077	 180	 1.0	 run-1
1	 Q0	 5955075	 181	 1.0	 run-1
1	 Q0	 5955072	 182	 1.0	 run-1
1	 Q0	 5955068	 183	 1.0	 run-1
1	 Q0	 5955067	 184	 1.0	 run-1
1	 Q0	 5955065	 185	 1.0	 run-1
1	 Q0	 5955063	 186	 1.0	 run-1
1	 Q0	 5955061	 187	 1.0	 run-1
1	 Q0	 5955060	 188	 1.0	 run-1
1	 Q0	 5955059	 189	 1.0	 run-1
1	 Q0	 5955058	 190	 1.0	 run-1
1	 Q0	 5955056	 191	 1.0	 run-1
1	 Q0	 5955055	 192	 1.0	 run-1
1	 Q0	 5955052	 193	 1.0	 run-1
1	 Q0	 5955051	 194	 1.0	 run-1
1	 Q0	 5955050	 195	 1.0	 run-1
1	 Q0	 5955048	 196	 1.0	 run-1
1	 Q0	 5955047	 197	 1.0	 run-1
1	 Q0	 5955039	 198	 1.0	 run-1
1	 Q0	 5955036	 199	 1.0	 run-1
1	 Q0	 5955035	 200	 1.0	 run-1
1	 Q0	 5955034	 201	 1.0	 run-1
1	 Q0	 5955022	 202	 1.0	 run-1
1	 Q0	 5955021	 203	 1.0	 run-1
1	 Q0	 5955018	 204	 1.0	 run-1
1	 Q0	 5955017	 205	 1.0	 run-1
1	 Q0	 5955016	 206	 1.0	 run-1
1	 Q0	 5955013	 207	 1.0	 run-1
1	 Q0	 5955005	 208	 1.0	 run-1
1	 Q0	 5955003	 209	 1.0	 run-1
1	 Q0	 5955000	 210	 1.0	 run-1
1	 Q0	 5954989	 211	 1.0	 run-1
1	 Q0	 5954986	 212	 1.0	 run-1
1	 Q0	 5954980	 213	 1.0	 run-1
1	 Q0	 5954967	 214	 1.0	 run-1
1	 Q0	 5954966	 215	 1.0	 run-1
1	 Q0	 5954965	 216	 1.0	 run-1
1	 Q0	 5954962	 217	 1.0	 run-1
1	 Q0	 5954961	 218	 1.0	 run-1
1	 Q0	 5954960	 219	 1.0	 run-1
1	 Q0	 5954959	 220	 1.0	 run-1
1	 Q0	 5954958	 221	 1.0	 run-1
1	 Q0	 5954957	 222	 1.0	 run-1
1	 Q0	 5954953	 223	 1.0	 run-1
1	 Q0	 5954951	 224	 1.0	 run-1
1	 Q0	 5954946	 225	 1.0	 run-1
1	 Q0	 5954938	 226	 1.0	 run-1
1	 Q0	 5954935	 227	 1.0	 run-1
1	 Q0	 5954930	 228	 1.0	 run-1
1	 Q0	 5954925	 229	 1.0	 run-1
1	 Q0	 5954923	 230	 1.0	 run-1
1	 Q0	 5954917	 231	 1.0	 run-1
1	 Q0	 5954914	 232	 1.0	 run-1
1	 Q0	 5954910	 233	 1.0	 run-1
1	 Q0	 5954908	 234	 1.0	 run-1
1	 Q0	 5954897	 235	 1.0	 run-1
1	 Q0	 5954892	 236	 1.0	 run-1
1	 Q0	 5954891	 237	 1.0	 run-1
1	 Q0	 5954888	 238	 1.0	 run-1
1	 Q0	 5954886	 239	 1.0	 run-1
1	 Q0	 5954881	 240	 1.0	 run-1
1	 Q0	 5954879	 241	 1.0	 run-1
1	 Q0	 5954877	 242	 1.0	 run-1
1	 Q0	 5954876	 243	 1.0	 run-1
1	 Q0	 5954870	 244	 1.0	 run-1
1	 Q0	 5954865	 245	 1.0	 run-1
1	 Q0	 5954859	 246	 1.0	 run-1
1	 Q0	 5954852	 247	 1.0	 run-1
1	 Q0	 5954850	 248	 1.0	 run-1
1	 Q0	 5954849	 249	 1.0	 run-1
1	 Q0	 5954837	 250	 1.0	 run-1
2	 Q0	 5956530	 1	 1.0	 run-1
2	 Q0	 5956526	 2	 1.0	 run-1
2	 Q0	 5956505	 3	 1.0	 run-1
2	 Q0	 5956493	 4	 1.0	 run-1
2	 Q0	 5956486	 5	 1.0	 run-1
2	 Q0	 5956473	 6	 1.0	 run-1
2	 Q0	 5956466	 7	 1.0	 run-1
2	 Q0	 5956465	 8	 1.0	 run-1
2	 Q0	 5956463	 9	 1.0	 run-1
2	 Q0	 5956453	 10	 1.0	 run-1
2	 Q0	 5956452	 11	 1.0	 run-1
2	 Q0	 5956432	 12	 1.0	 run-1
2	 Q0	 5956429	 13	 1.0	 run-1
2	 Q0	 5956407	 14	 1.0	 run-1
2	 Q0	 5956406	 15	 1.0	 run-1
2	 Q0	 5956403	 16	 1.0	 run-1
2	 Q0	 5956391	 17	 1.0	 run-1
2	 Q0	 5956377	 18	 1.0	 run-1
2	 Q0	 5956367	 19	 1.0	 run-1
2	 Q0	 5956362	 20	 1.0	 run-1
2	 Q0	 5956347	 21	 1.0	 run-1
2	 Q0	 5956337	 22	 1.0	 run-1
2	 Q0	 5956332	 23	 1.0	 run-1
2	 Q0	 5956328	 24	 1.0	 run-1
2	 Q0	 5956320	 25	 1.0	 run-1
2	 Q0	 5956307	 26	 1.0	 run-1
2	 Q0	 5956303	 27	 1.0	 run-1
2	 Q0	 5956296	 28	 1.0	 run-1
2	 Q0	 5956293	 29	 1.0	 run-1
2	 Q0	 5956268	 30	 1.0	 run-1
2	 Q0	 5956267	 31	 1.0	 run-1
2	 Q0	 5956256	 32	 1.0	 run-1
2	 Q0	 5956255	 33	 1.0	 run-1
2	 Q0	 5956254	 34	 1.0	 run-1
2	 Q0	 5956253	 35	 1.0	 run-1
2	 Q0	 5956252	 36	 1.0	 run-1
2	 Q0	 5956251	 37	 1.0	 run-1
2	 Q0	 5956250	 38	 1.0	 run-1
2	 Q0	 5956249	 39	 1.0	 run-1
2	 Q0	 5956248	 40	 1.0	 run-1
2	 Q0	 5956247	 41	 1.0	 run-1
2	 Q0	 5956240	 42	 1.0	 run-1
2	 Q0	 5956233	 43	 1.0	 run-1
2	 Q0	 5956228	 44	 1.0	 run-1
2	 Q0	 5956227	 45	 1.0	 run-1
2	 Q0	 5956225	 46	 1.0	 run-1
2	 Q0	 5956221	 47	 1.0	 run-1
2	 Q0	 5956220	 48	 1.0	 run-1
2	 Q0	 5956219	 49	 1.0	 run-1
2	 Q0	 5956216	 50	 1.0	 run-1
2	 Q0	 5956215	 51	 1.0	 run-1
2	 Q0	 5956214	 52	 1.0	 run-1
2	 Q0	 5956213	 53	 1.0	 run-1
